fl_date,unique_carrier,airline_id,tail_num,fl_num,origin,dest,dep_time,dep_delay,arr_time,arr_delay,cancelled,arr,dep
2014-01-01 00:00:00,AA,19805,N338AA,1,JFK,LAX,914.0,14.0,1238.0,13.0,0.0,2014-01-01 12:38:00,2014-01-01 09:14:00
2014-01-01 00:00:00,AA,19805,N335AA,3,JFK,LAX,1157.0,-3.0,1523.0,13.0,0.0,2014-01-01 15:23:00,2014-01-01 11:57:00
2014-01-01 00:00:00,AA,19805,N327AA,21,JFK,LAX,1902.0,2.0,2224.0,9.0,0.0,2014-01-01 22:24:00,2014-01-01 19:02:00
2014-01-01 00:00:00,AA,19805,N3EHAA,29,LGA,PBI,722.0,-8.0,1014.0,-26.0,0.0,2014-01-01 10:14:00,2014-01-01 07:22:00
2014-01-01 00:00:00,AA,19805,N319AA,117,JFK,LAX,1347.0,2.0,1706.0,1.0,0.0,2014-01-01 17:06:00,2014-01-01 13:47:00
2014-01-01 00:00:00,AA,19805,N323AA,185,JFK,LAX,2133.0,-2.0,37.0,-18.0,0.0,2014-01-01 00:37:00,2014-01-01 21:33:00
2014-01-01 00:00:00,AA,19805,N328AA,133,JFK,LAX,1542.0,-3.0,1906.0,-14.0,0.0,2014-01-01 19:06:00,2014-01-01 15:42:00
2014-01-01 00:00:00,AA,19805,N5FJAA,145,JFK,MIA,1509.0,-1.0,1828.0,-17.0,0.0,2014-01-01 18:28:00,2014-01-01 15:09:00
2014-01-01 00:00:00,AA,19805,N3HYAA,235,JFK,SEA,1848.0,-2.0,2206.0,-14.0,0.0,2014-01-01 22:06:00,2014-01-01 18:48:00
2014-01-01 00:00:00,AA,19805,N332AA,177,JFK,SFO,1752.0,7.0,2120.0,-5.0,0.0,2014-01-01 21:20:00,2014-01-01 17:52:00
2014-01-01 00:00:00,AA,19805,N3JWAA,178,JFK,BOS,1253.0,3.0,1351.0,1.0,0.0,2014-01-01 13:51:00,2014-01-01 12:53:00
2014-01-01 00:00:00,AA,19805,N336AA,181,JFK,LAX,1907.0,142.0,2223.0,133.0,0.0,2014-01-01 22:23:00,2014-01-01 19:07:00
2014-01-01 00:00:00,AA,19805,N3BCAA,256,JFK,BOS,1720.0,-5.0,1819.0,-26.0,0.0,2014-01-01 18:19:00,2014-01-01 17:20:00
2014-01-01 00:00:00,AA,19805,N3HPAA,199,JFK,ORD,1733.0,18.0,2024.0,69.0,0.0,2014-01-01 20:24:00,2014-01-01 17:33:00
2014-01-01 00:00:00,AA,19805,N3HFAA,211,JFK,IAH,1640.0,25.0,2001.0,36.0,0.0,2014-01-01 20:01:00,2014-01-01 16:40:00
2014-01-01 00:00:00,AA,19805,N3DVAA,291,JFK,AUS,1714.0,-1.0,2036.0,1.0,0.0,2014-01-01 20:36:00,2014-01-01 17:14:00
2014-01-01 00:00:00,AA,19805,N3KHAA,301,LGA,ORD,553.0,-7.0,739.0,-6.0,0.0,2014-01-01 07:39:00,2014-01-01 05:53:00
2014-01-01 00:00:00,AA,19805,N3BSAA,303,LGA,ORD,623.0,-7.0,815.0,0.0,0.0,2014-01-01 08:15:00,2014-01-01 06:23:00
2014-01-01 00:00:00,AA,19805,N560AA,305,LGA,ORD,652.0,-8.0,833.0,-17.0,0.0,2014-01-01 08:33:00,2014-01-01 06:52:00
2014-01-01 00:00:00,AA,19805,N3GMAA,307,LGA,ORD,738.0,-2.0,940.0,15.0,0.0,2014-01-01 09:40:00,2014-01-01 07:38:00
2014-01-01 00:00:00,AA,19805,N553AA,313,LGA,ORD,847.0,-3.0,1036.0,1.0,0.0,2014-01-01 10:36:00,2014-01-01 08:47:00
2014-01-01 00:00:00,AA,19805,N3KDAA,317,LGA,ORD,1029.0,44.0,1212.0,42.0,0.0,2014-01-01 12:12:00,2014-01-01 10:29:00
2014-01-01 00:00:00,AA,19805,N482AA,325,LGA,ORD,1018.0,3.0,1202.0,12.0,0.0,2014-01-01 12:02:00,2014-01-01 10:18:00
2014-01-01 00:00:00,AA,19805,N570AA,327,LGA,ORD,1140.0,-5.0,1349.0,24.0,0.0,2014-01-01 13:49:00,2014-01-01 11:40:00
2014-01-01 00:00:00,AA,19805,N3KRAA,331,LGA,ORD,1346.0,26.0,1541.0,46.0,0.0,2014-01-01 15:41:00,2014-01-01 13:46:00
2014-01-01 00:00:00,AA,19805,N553AA,341,LGA,ORD,1612.0,52.0,1836.0,91.0,0.0,2014-01-01 18:36:00,2014-01-01 16:12:00
2014-01-01 00:00:00,AA,19805,N482AA,343,LGA,ORD,1730.0,55.0,1949.0,84.0,0.0,2014-01-01 19:49:00,2014-01-01 17:30:00
2014-01-01 00:00:00,AA,19805,N425AA,345,LGA,ORD,1811.0,36.0,2024.0,59.0,0.0,2014-01-01 20:24:00,2014-01-01 18:11:00
2014-01-01 00:00:00,AA,19805,N5FSAA,936,JFK,STT,750.0,0.0,1228.0,-27.0,0.0,2014-01-01 12:28:00,2014-01-01 07:50:00
2014-01-01 00:00:00,AA,19805,N3EAAA,359,LGA,ORD,,,,,1.0,,
2014-01-01 00:00:00,AA,19805,N3CWAA,363,LGA,ORD,1951.0,11.0,2159.0,44.0,0.0,2014-01-01 21:59:00,2014-01-01 19:51:00
2014-01-01 00:00:00,AA,19805,N542AA,371,LGA,ORD,,,,,1.0,,
2014-01-01 00:00:00,AA,19805,N5CEAA,1029,JFK,SJU,1855.0,-5.0,2342.0,-17.0,0.0,2014-01-01 23:42:00,2014-01-01 18:55:00
2014-01-01 00:00:00,AA,19805,N3ESAA,388,LGA,MIA,1130.0,-10.0,1436.0,-19.0,0.0,2014-01-01 14:36:00,2014-01-01 11:30:00
2014-01-01 00:00:00,AA,19805,N3JMAA,1073,LGA,MIA,1344.0,-6.0,1701.0,-4.0,0.0,2014-01-01 17:01:00,2014-01-01 13:44:00
2014-01-01 00:00:00,AA,19805,N5DWAA,1085,JFK,MIA,917.0,7.0,1227.0,-8.0,0.0,2014-01-01 12:27:00,2014-01-01 09:17:00
2014-01-01 00:00:00,AA,19805,N3BJAA,1171,LGA,DFW,1741.0,51.0,2034.0,29.0,0.0,2014-01-01 20:34:00,2014-01-01 17:41:00
2014-01-01 00:00:00,AA,19805,N3JMAA,1175,LGA,MIA,558.0,-2.0,902.0,-3.0,0.0,2014-01-01 09:02:00,2014-01-01 05:58:00
2014-01-01 00:00:00,AA,19805,N3CCAA,1185,LGA,DFW,1747.0,17.0,2057.0,7.0,0.0,2014-01-01 20:57:00,2014-01-01 17:47:00
2014-01-01 00:00:00,AA,19805,N3BJAA,1111,LGA,DFW,745.0,0.0,1052.0,-8.0,0.0,2014-01-01 10:52:00,2014-01-01 07:45:00
2014-01-01 00:00:00,AA,19805,N3EMAA,1121,LGA,DFW,855.0,-5.0,1206.0,-14.0,0.0,2014-01-01 12:06:00,2014-01-01 08:55:00
2014-01-01 00:00:00,AA,19805,N3EDAA,1131,LGA,DFW,1021.0,-4.0,1319.0,-21.0,0.0,2014-01-01 13:19:00,2014-01-01 10:21:00
2014-01-01 00:00:00,AA,19805,N3JSAA,1193,LGA,DFW,1916.0,6.0,2224.0,4.0,0.0,2014-01-01 22:24:00,2014-01-01 19:16:00
2014-01-01 00:00:00,AA,19805,N3BKAA,1139,LGA,DFW,1109.0,-6.0,1414.0,-11.0,0.0,2014-01-01 14:14:00,2014-01-01 11:09:00
2014-01-01 00:00:00,AA,19805,N3FMAA,1143,LGA,DFW,1159.0,-11.0,1515.0,-5.0,0.0,2014-01-01 15:15:00,2014-01-01 11:59:00
2014-01-01 00:00:00,AA,19805,N3AUAA,1145,LGA,DFW,1254.0,-1.0,1551.0,-14.0,0.0,2014-01-01 15:51:00,2014-01-01 12:54:00
2014-01-01 00:00:00,AA,19805,N3ADAA,1151,LGA,DFW,1348.0,3.0,1658.0,3.0,0.0,2014-01-01 16:58:00,2014-01-01 13:48:00
2014-01-01 00:00:00,AA,19805,N3KAAA,1155,LGA,DFW,1509.0,14.0,1828.0,23.0,0.0,2014-01-01 18:28:00,2014-01-01 15:09:00
2014-01-01 00:00:00,AA,19805,N3FFAA,1156,LGA,DFW,1545.0,0.0,1838.0,-27.0,0.0,2014-01-01 18:38:00,2014-01-01 15:45:00
2014-01-01 00:00:00,AA,19805,N3GKAA,1327,LGA,PBI,1504.0,-6.0,1826.0,-9.0,0.0,2014-01-01 18:26:00,2014-01-01 15:04:00
2014-01-01 00:00:00,AA,19805,N357AA,1357,JFK,SJU,808.0,3.0,1248.0,-16.0,0.0,2014-01-01 12:48:00,2014-01-01 08:08:00
2014-01-01 00:00:00,AA,19805,N3JEAA,1410,LGA,MIA,1553.0,3.0,1926.0,11.0,0.0,2014-01-01 19:26:00,2014-01-01 15:53:00
2014-01-01 00:00:00,AA,19805,N3DDAA,1256,LGA,MIA,1252.0,-7.0,1552.0,-22.0,0.0,2014-01-01 15:52:00,2014-01-01 12:52:00
2014-01-01 00:00:00,AA,19805,N3ELAA,1263,JFK,LAS,659.0,4.0,954.0,14.0,0.0,2014-01-01 09:54:00,2014-01-01 06:59:00
2014-01-01 00:00:00,AA,19805,N3BHAA,1599,LGA,MIA,1035.0,-5.0,1350.0,-5.0,0.0,2014-01-01 13:50:00,2014-01-01 10:35:00
2014-01-01 00:00:00,AA,19805,N3EMAA,1611,LGA,MIA,1812.0,-3.0,2129.0,-6.0,0.0,2014-01-01 21:29:00,2014-01-01 18:12:00
2014-01-01 00:00:00,AA,19805,N635AA,1697,JFK,MIA,1227.0,2.0,1534.0,-1.0,0.0,2014-01-01 15:34:00,2014-01-01 12:27:00
2014-01-01 00:00:00,AA,19805,N5CGAA,2243,JFK,MIA,546.0,6.0,853.0,3.0,0.0,2014-01-01 08:53:00,2014-01-01 05:46:00
2014-01-01 00:00:00,AA,19805,N3JEAA,2267,LGA,MIA,753.0,-7.0,1127.0,12.0,0.0,2014-01-01 11:27:00,2014-01-01 07:53:00
2014-01-01 00:00:00,AA,19805,N3KAAA,2279,LGA,MIA,705.0,-5.0,1005.0,-20.0,0.0,2014-01-01 10:05:00,2014-01-01 07:05:00
2014-01-01 00:00:00,AA,19805,N633AA,2285,JFK,MCO,1449.0,-6.0,1755.0,-10.0,0.0,2014-01-01 17:55:00,2014-01-01 14:49:00
2014-01-01 00:00:00,AA,19805,N397AA,2351,JFK,MIA,1736.0,6.0,2043.0,-12.0,0.0,2014-01-01 20:43:00,2014-01-01 17:36:00
2014-01-01 00:00:00,AA,19805,N3EHAA,2297,LGA,MIA,1450.0,-5.0,1805.0,-15.0,0.0,2014-01-01 18:05:00,2014-01-01 14:50:00
2014-01-01 00:00:00,AA,19805,N3JUAA,2314,JFK,BOS,1958.0,-2.0,2055.0,-15.0,0.0,2014-01-01 20:55:00,2014-01-01 19:58:00
2014-01-01 00:00:00,AA,19805,N3ESAA,2437,LGA,MIA,1922.0,-3.0,2236.0,-9.0,0.0,2014-01-01 22:36:00,2014-01-01 19:22:00
2014-01-01 00:00:00,AA,19805,N623AA,2448,JFK,EGE,1754.0,24.0,2041.0,16.0,0.0,2014-01-01 20:41:00,2014-01-01 17:54:00
2014-01-01 00:00:00,AA,19805,N5CEAA,2493,JFK,MCO,647.0,-3.0,942.0,-13.0,0.0,2014-01-01 09:42:00,2014-01-01 06:47:00
2014-01-01 00:00:00,B6,20409,N318JB,115,SYR,JFK,720.0,90.0,808.0,55.0,0.0,2014-01-01 08:08:00,2014-01-01 07:20:00
2014-01-01 00:00:00,B6,20409,N318JB,1273,JFK,CHS,846.0,51.0,1100.0,60.0,0.0,2014-01-01 11:00:00,2014-01-01 08:46:00
2014-01-01 00:00:00,B6,20409,N318JB,553,JFK,PBI,1353.0,41.0,1657.0,51.0,0.0,2014-01-01 16:57:00,2014-01-01 13:53:00
2014-01-01 00:00:00,B6,20409,N318JB,418,JFK,BOS,2127.0,72.0,2215.0,49.0,0.0,2014-01-01 22:15:00,2014-01-01 21:27:00
2014-01-01 00:00:00,B6,20409,N324JB,229,JFK,RSW,952.0,47.0,1307.0,48.0,0.0,2014-01-01 13:07:00,2014-01-01 09:52:00
2014-01-01 00:00:00,B6,20409,N324JB,1734,JFK,BTV,1718.0,18.0,1840.0,24.0,0.0,2014-01-01 18:40:00,2014-01-01 17:18:00
2014-01-01 00:00:00,B6,20409,N324JB,702,JFK,BUF,2132.0,-4.0,2254.0,-5.0,0.0,2014-01-01 22:54:00,2014-01-01 21:32:00
2014-01-01 00:00:00,B6,20409,N334JB,185,ROC,JFK,600.0,-10.0,709.0,-21.0,0.0,2014-01-01 07:09:00,2014-01-01 06:00:00
2014-01-01 00:00:00,B6,20409,N334JB,1307,JFK,IAD,752.0,-2.0,903.0,-8.0,0.0,2014-01-01 09:03:00,2014-01-01 07:52:00
2014-01-01 00:00:00,B6,20409,N334JB,108,JFK,PWM,2244.0,-1.0,2400.0,7.0,0.0,2014-01-02 00:00:00,2014-01-01 22:44:00
2014-01-01 00:00:00,B6,20409,N337JB,316,JFK,SYR,1407.0,127.0,1517.0,129.0,0.0,2014-01-01 15:17:00,2014-01-01 14:07:00
2014-01-01 00:00:00,B6,20409,N337JB,885,JFK,RDU,807.0,30.0,938.0,17.0,0.0,2014-01-01 09:38:00,2014-01-01 08:07:00
2014-01-01 00:00:00,B6,20409,N337JB,1515,SYR,JFK,1550.0,126.0,1654.0,115.0,0.0,2014-01-01 16:54:00,2014-01-01 15:50:00
2014-01-01 00:00:00,B6,20409,N337JB,1729,JFK,RSW,1741.0,126.0,2048.0,111.0,0.0,2014-01-01 20:48:00,2014-01-01 17:41:00
2014-01-01 00:00:00,B6,20409,N339JB,871,HPN,PBI,2037.0,-18.0,2343.0,3.0,0.0,2014-01-01 23:43:00,2014-01-01 20:37:00
2014-01-01 00:00:00,B6,20409,N346JB,535,SWF,FLL,1514.0,-2.0,1824.0,-3.0,0.0,2014-01-01 18:24:00,2014-01-01 15:14:00
